Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1939]=22.727439
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1940]=22.724795
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1941]=22.68764
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1942]=22.650484
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1943]=22.613328
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1944]=22.576173
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1945]=22.539017
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1946]=22.501861
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1947]=22.464705
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1948]=22.42755
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1949]=22.390394
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1950]=22.353238
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1951]=22.541288
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1952]=22.729338
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1953]=22.917388
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1954]=23.105438
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1955]=23.293487
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1956]=23.481537
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1957]=23.669587
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1958]=23.857637
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1959]=24.045686
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1960]=24.233736
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1961]=24.502237
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1962]=24.770737
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1963]=25.039238
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1964]=25.307738
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1965]=25.576239
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1966]=25.844739
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1967]=26.11324
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1968]=26.381741
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1969]=26.650241
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1970]=26.918742
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1971]=27.221794
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1972]=27.524846
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1973]=27.827898
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1974]=28.13095
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1975]=28.434002
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1976]=28.737055
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1977]=29.040107
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1978]=29.343159
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1979]=29.646211
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1980]=29.949263
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1981]=30.456334
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[1982]=30.963404
