Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1764 T=-0.382281 degC dTdt=0.00145325 dHdt=0.00840198 cm/yr slr=0.310195 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1764 T=-0.382281 degC Dtdt=0.00145325 DHdt_no_ice=0.00305069 cm/yr slr_no_ice=-0.0101054 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1765 T=-0.379201 degC dTdt=0.00790799 dHdt=-0.021502 cm/yr slr=0.288693 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1765 T=-0.379201 degC Dtdt=0.00790799 DHdt_no_ice=0.0194339 cm/yr slr_no_ice=0.00932841 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1766 T=-0.366465 degC dTdt=0.0166645 dHdt=-0.0572762 cm/yr slr=0.231417 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1766 T=-0.366465 degC Dtdt=0.0166645 DHdt_no_ice=0.0423441 cm/yr slr_no_ice=0.0516725 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1767 T=-0.345872 degC dTdt=0.016909 dHdt=-0.0469425 cm/yr slr=0.184475 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1767 T=-0.345872 degC Dtdt=0.016909 DHdt_no_ice=0.0446026 cm/yr slr_no_ice=0.0962751 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1768 T=-0.332647 degC dTdt=0.00860604 dHdt=0.00114831 cm/yr slr=0.185623 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1768 T=-0.332647 degC Dtdt=0.00860604 DHdt_no_ice=0.0249034 cm/yr slr_no_ice=0.121178 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1769 T=-0.32866 degC dTdt=0.00336439 dHdt=0.0290647 cm/yr slr=0.214687 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1769 T=-0.32866 degC Dtdt=0.00336439 DHdt_no_ice=0.0121182 cm/yr slr_no_ice=0.133297 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1770 T=-0.325918 degC dTdt=0.00511733 dHdt=0.0220111 cm/yr slr=0.236699 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1770 T=-0.325918 degC Dtdt=0.00511733 DHdt_no_ice=0.0167199 cm/yr slr_no_ice=0.150017 cm
Tue Aug 11 14:42:21 2020:DEBUG:compute_slr: 1771 T=-0.318426 degC dTdt=0.00866514 dHdt=0.00882241 cm/yr slr=0.245521 cm
