Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2044]=5.38774
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2045]=5.3132
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2046]=5.23866
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2047]=5.16412
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2048]=5.08958
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2049]=5.01504
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2050]=4.9405
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2051]=4.88943
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2052]=4.83836
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2053]=4.78729
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2054]=4.73622
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2055]=4.68515
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2056]=4.63408
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2057]=4.58301
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2058]=4.53194
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2059]=4.48087
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2060]=4.4298
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2061]=4.38112
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting BC_emissions[2062]=4.33244
